University_name,code
Ecole polytechnique de Montreal,polymtl.ca
Kyoto University,kyoto-u.ac.jp
University of Zaragoza,unizar.es
Idiap Research Institute,idiap.ch
University of Basel,unibas.ch
University of Utah,utah.edu
Banner Health,bannerhealth.com
University of Milan,unimi.it
National Institute of Standards and Technology,nist.gov
Universidade de Lisboa,utl.pt
Osaka University,sanken.osaka-u.ac.jp
University of Waterloo,uwaterloo.ca
Oregon State University,oregonstate.edu
Northwestern University,northwestern.edu
"University of Maryland, College Park",umd.edu
Rice University,rice.edu
University of British Columbia,ubc.ca
Computational Biology Research Center,cbrc.jp
Graz University of Technology,tugraz.at
University of Illinois Urbana-Champaign,uiuc.edu
Oxford Brookes University,brookes.ac.uk
University of Southern California,usc.edu
University of Leuven,kuleuven.be
University of Hawaii,hawaii.edu
University of Pittsburgh,pitt.edu
University of Ottawa,uottawa.ca
RIKEN Brain Science Institute,brain.riken.jp
"University of California, San Francisco",ucsf.edu
Fraunhofer Institute,first.fhg.de
The University of Sydney,syd.edu.au
Oregon Health & Science University,ogi.edu
University of York,york.ac.uk
Salk Institute for Biological Studies,salk.edu
Australian National University,anu.edu.au
Aalto University,hut.fi
University of Duisburg-Essen,uni-duisburg.de
TRL,trl.oz.au
Siemens,siemens.de
